variant,rebalance,top_k,cash_rule,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,cash_exposure,annualized_turnover,signal_count
weekly_top3_current_5bp,weekly,3,current,5.0,1.1221138924183882,0.044264329510692146,0.19963640495053842,0.3234081279760923,0.3977644184534271,-0.412176396562977,0.10739171354740333,0.3674983727454273,0.03649756932957837,0.19557768961675284,0.2857665393064808,0.35608656160925034,-0.412176396562977,0.08854842158338355,0.551821877607048,0.05227334442397802,0.20368358606802572,0.3603362880247339,0.4388430252857332,-0.3419389358610784,0.15287333187822585,0.10089160018770531,31.59361801970905,907
monthly_top1_none_30bp,monthly,1,none,30.0,0.5440688857342553,0.025424194911893627,0.26163992273734327,0.22970284162458482,0.31363797158972906,-0.5296296027792616,0.04800372709244104,-0.04005120439519916,-0.004707505434704329,0.2479532208298189,0.10452987187065976,0.14762609906875435,-0.5192936721034463,-0.00906520854690208,0.6084908828511353,0.05665868882931502,0.27474850647401367,0.3443295586629112,0.4583552190496664,-0.42462285267849353,0.1334329710987425,0.0,17.160226201696513,209
weekly_top1_current_5bp,weekly,1,current,5.0,0.45207755110710623,0.021703651222619635,0.24070661911334745,0.2122787613648042,0.27912386443314485,-0.5428805491625674,0.03997868639077066,-0.05331021497212407,-0.006254983660785585,0.22839516477177657,0.08596543500183368,0.11676418160736637,-0.5428805491625674,-0.011521841536659123,0.5338472793010527,0.05085278413452721,0.25260808390980016,0.3290702626020509,0.42391420767626886,-0.40023217060947536,0.12705821237980036,0.10089160018770531,42.748944157672454,907
monthly_top1_dual_trend_20bp,monthly,1,dual_trend,20.0,0.5088509843541593,0.02405777394655706,0.2276522034689995,0.22139993479298456,0.2544383648003848,-0.5271824340289577,0.04563462739586575,0.03477054939680935,0.003953476926765287,0.21886471924707585,0.12793484309433628,0.1454767123944225,-0.5271824340289577,0.007499257698233787,0.45815029741009194,0.04470401940965041,0.23618298706428423,0.3091504653776542,0.3598369315004223,-0.29914389523271834,0.1494398519310348,0.29359095193213947,15.141376060320454,209
monthly_top1_risk_off_20bp,monthly,1,risk_off,20.0,0.9638500886768158,0.03977537600873027,0.24376330234411756,0.28659863685459813,0.355474124681195,-0.46628371417075554,0.08530294925583508,0.3438298351598321,0.03470363770284157,0.23090917692267993,0.26680869449175587,0.3437129537320982,-0.46628371417075554,0.07442601285047866,0.461383009436789,0.04497231433289817,0.25608451367310836,0.305344680062825,0.36857447916710123,-0.3295566213016715,0.13646308836177545,0.17177191328934968,17.635249764373235,209
weekly_top1_none_10bp,weekly,1,none,10.0,0.3661417080143934,0.01812198245276564,0.2534807757524084,0.1997911601176223,0.2773725787721674,-0.5766046877279484,0.031428780997555625,-0.06584531295323948,-0.007770953187605678,0.24396918110909,0.08912332414945512,0.13079192370718015,-0.5406937864017646,-0.01437218881193401,0.46243628272456117,0.04505961612386278,0.2627972019936723,0.3046572424785837,0.40429477714266465,-0.4782020979024173,0.09422714020183516,0.0,41.80290943219146,907
weekly_top3_current_10bp,weekly,3,current,10.0,0.6243925742597223,0.028320348254165628,0.19966767153869436,0.24424197775865492,0.300531463886942,-0.4340538956576706,0.06524615615131192,0.18973967111973522,0.02009786417031556,0.1956256816495177,0.20231460044835764,0.2524051302961968,-0.4340538956576706,0.046302692756307696,0.3653344623962256,0.036767298037892804,0.2036983313675214,0.28533302002226757,0.34742657416726186,-0.3633099087979881,0.1012009228141823,0.10089160018770531,31.59361801970905,907
weekly_top3_none_20bp,weekly,3,none,20.0,0.97041873997301,0.03981544796571246,0.2137576879230382,0.2951638658087872,0.38525721525503376,-0.42019085153678926,0.09475562787741101,0.4720677957805264,0.0452820691839555,0.2139125262454373,0.31915884711141473,0.43219684183437773,-0.3890212400175054,0.11639999189226241,0.33853803854751274,0.03438718917159855,0.21359943665847883,0.27070221892278884,0.3409758582178247,-0.4201908515367879,0.0818370724775,0.0,27.29704364148287,907
weekly_top1_current_10bp,weekly,1,current,10.0,0.011195496026688012,0.0006410934010538938,0.2407881966218214,0.12343807252951226,0.16242703817577545,-0.5759103242653112,0.0011131826849461964,-0.22862002635742618,-0.0292925643710783,0.22852785371701917,-0.018970171745577934,-0.025798183872917598,-0.5759103242653112,-0.05086306519760142,0.3108915587368306,0.03188701287488738,0.25264006735499067,0.2548798163185427,0.32838081920126805,-0.4214747979045126,0.07565579966684402,0.10089160018770531,42.748944157672454,907
monthly_top1_dual_trend_30bp,monthly,1,dual_trend,30.0,0.1680022698894239,0.00901530600544076,0.227913152285223,0.1547115933839044,0.17781867800614354,-0.5403252019394938,0.01668496300576093,-0.09834720865190272,-0.011879814745447526,0.21922271632105172,0.05385928034874527,0.061241854279249136,-0.5403252019394938,-0.021986416148654563,0.2954013796631152,0.030465728847959506,0.2363526605633673,0.24935845769699444,0.2902795721415192,-0.3289719223309294,0.09260890300939573,0.29359095193213947,15.141376060320454,209
monthly_top1_risk_off_30bp,monthly,1,risk_off,30.0,0.4576949589957686,0.022018462378140313,0.24401214336465668,0.21403434961258094,0.2655975074491598,-0.485246847920101,0.04537579681870658,0.13411307585299848,0.014634190062003283,0.23124273096461534,0.18004010811989254,0.2319836936968122,-0.485246847920101,0.03015823827548674,0.2853171258072258,0.029532363220157176,0.2562561553495685,0.24554070335597922,0.29651997164496935,-0.362323622323232,0.08150824677340829,0.17177191328934968,17.635249764373235,209
weekly_top1_dual_trend_0bp,weekly,1,dual_trend,0.0,0.3461658324510555,0.017259045554469443,0.21944211356940857,0.19016628423361323,0.2149056330235165,-0.4976012982806556,0.03468448658414683,0.12935583774960446,0.014030319904977384,0.20350420047157583,0.17174159684215917,0.19543259651025519,-0.4976012982806556,0.028195906950918052,0.19197668923682376,0.020571482049424272,0.23455624663273214,0.20733978332402478,0.23573427003719732,-0.4761978508169018,0.043199443286303305,0.3057250117315814,38.49178789300798,907
weekly_top1_risk_off_0bp,weekly,1,risk_off,0.0,0.36692849992315346,0.018155727086159867,0.23059132534129115,0.19574870996101548,0.2417482350772632,-0.4638240136762597,0.039143568575197185,0.19718745276152738,0.020827240961407867,0.21923679423806297,0.20569005072906005,0.26712257684946517,-0.4491976147621425,0.046365430885994874,0.14178318255014144,0.015493061535418962,0.24160265843170114,0.1870089420953115,0.223299429306273,-0.46382401367625936,0.03340288790272259,0.1996715157203191,43.4584702017832,907
